1, 1, 1, 19, 19, True
1, 1, 1, 22, 22, True
1, 1, 2, 25, 25, True
1, 1, 2, 9, 9, True
1, 1, 3, 19, 19, True
1, 1, 3, 32, 32, True
1, 1, 4, 19, 19, True
1, 1, 4, 15, 15, True
1, 1, 5, 11, 18, False
1, 1, 4, 36, 36, True
1, 1, 4, 24, 24, True
1, 1, 5, 8, 8, True
1, 1, 5, 30, 30, True
1, 1, 6, 26, 26, True
1, 1, 6, 17, 17, True
1, 1, 7, 26, 26, True
1, 1, 7, 31, 31, True
1, 1, 8, 8, 26, False
1, 1, 7, 16, 16, True
1, 1, 7, 11, 11, True
1, 1, 8, 19, 19, True
1, 1, 8, 37, 31, False
1, 1, 7, 16, 16, True
1, 1, 7, 23, 23, True
1, 1, 8, 22, 38, False
1, 1, 7, 32, 32, True
1, 1, 7, 26, 26, True
1, 1, 8, 33, 33, True
1, 1, 8, 9, 29, False
1, 1, 7, 40, 30, False
1, 1, 6, 22, 19, False
1, 1, 5, 12, 30, False
1, 1, 4, 11, 18, False
1, 1, 3, 11, 11, True
1, 1, 3, 11, 11, True
1, 1, 4, 9, 9, True
1, 1, 4, 29, 29, True
1, 1, 5, 9, 9, True
1, 1, 5, 18, 18, True
1, 1, 6, 24, 24, True
1, 1, 6, 9, 9, True
1, 1, 7, 39, 39, True
1, 1, 7, 12, 10, False
1, 1, 6, 11, 11, True
1, 1, 6, 19, 19, True
1, 1, 7, 17, 17, True
1, 1, 7, 26, 26, True
1, 1, 8, 17, 17, True
1, 1, 8, 40, 40, True
1, 1, 9, 30, 30, True
